Device Name,Device ID,Sensor Name,Sensor ID,Sensor Type
Probe Device,40,Core Health,1002,Core Health
Probe Device,40,Probe Health,1003,Probe Health
Probe Device,40,System Health,1001,System Health
Probe Device,40,WMI UTC Time,9447,WMI UTC Time
192.168.101.100 (IDRAC - 192.168.101.201),10724,SNMP System Uptime,10731,SNMP System Uptime
192.168.101.100 (IDRAC - 192.168.101.201),10724,Dell System Health TP-PRTG-101-100,10730,SNMP Dell PowerEdge System Health
192.168.101.100 (IDRAC - 192.168.101.201),10724,Physical Disk 0:1:0,10727,SNMP Dell PowerEdge Physical Disk
192.168.101.100 (IDRAC - 192.168.101.201),10724,Physical Disk 0:1:1,10729,SNMP Dell PowerEdge Physical Disk
192.168.101.100 (IDRAC - 192.168.101.201),10724,Physical Disk 0:1:2,10728,SNMP Dell PowerEdge Physical Disk
Probe Device,2077,Probe Health,2079,Probe Health
Probe Device,2077,System Health,2078,System Health
Probe Device,2077,WMI UTC Time,3577,WMI UTC Time
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Syslog Receiver,3022,Syslog Receiver
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Uptime,3007,SNMP System Uptime
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,CPU Utilization,4772,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Memory Free,4777,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Thermal Detector 1,4785,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Thermal Detector 2,4790,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Fan 1 speed,4798,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Fan 2 speed,4804,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Fan 3 speed,4809,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],7940,SNMP Traffic
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Eth-1/15_JIO_ILL_2G_CKT_ID_9336024697_778740107172,9984,SNMP Traffic
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Syslog Receiver,3545,Syslog Receiver
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Uptime,3575,SNMP System Uptime
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,CPU Utilization,4773,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Memory Free,4778,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Thermal Detector 1,4786,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Thermal Detector 2,4791,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Fan 1 speed,4800,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Fan 2 speed,4805,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Fan 3 speed,4810,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Eth1/16_GW-182.78.48.9_AIRTEL_to 0/0/0/5_100.64.88.10_CKT_ID-230621100032262,7943,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(001) sfp-sfpplus1-TATA Traffic,11142,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(002) sfp-sfpplus2-AIRTEL Traffic,11143,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(003) sfp-sfpplus3-JIO Traffic,11144,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(004) sfp-sfpplus4 Traffic,11145,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(005) sfp-sfpplus5 Traffic,11146,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(006) sfp-sfpplus6 Traffic,11147,SNMP Traffic
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Syslog Receiver,11148,Syslog Receiver
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Uptime,11149,SNMP System Uptime
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,SNMP CPU Load,11150,SNMP CPU Load
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Disk Free: system disk,11151,SNMP Disk Free
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Memory: main memory,11152,SNMP Memory
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(001) sfp-sfpplus1-TATA Traffic,11153,SNMP Traffic
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(002) sfp-sfpplus2-AIRTEL Traffic,11154,SNMP Traffic
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(003) sfp-sfpplus3-JIO Traffic,11155,SNMP Traffic
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(004) sfp-sfpplus4 Traffic,11156,SNMP Traffic
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(005) sfp-sfpplus5 Traffic,11157,SNMP Traffic
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(006) sfp-sfpplus6 Traffic,11158,SNMP Traffic
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Uptime,11159,SNMP System Uptime
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,CPU Load,11161,SNMP CPU Load
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Disk Free: system disk,11162,SNMP Disk Free
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Memory: main memory,11163,SNMP Memory
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Syslog Receiver,11164,Syslog Receiver
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,Uptime,9929,SNMP System Uptime
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(001) BKC_TCL_121.241.40.250_Traffic,9930,SNMP Traffic
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(031) WAN_Bridge Traffic,9931,SNMP Traffic
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(005) RAGHUNANDAN 121.241.40.254 Traffic,10079,SNMP Traffic
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,Syslog Receiver,10086,Syslog Receiver
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,CPU,10901,SNMP CPU Load
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,Memory: main memory,10902,SNMP Memory
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(006) EASTINDIA 121.241.40.253 Traffic,10917,SNMP Traffic
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(007) KIFS 121.241.40.252 Traffic,10918,SNMP Traffic
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(008) AFFILIANCE 121.241.40.251 Traffic,10919,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,CPU,10113,SNMP CPU Load
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Memory,10116,SNMP Memory
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Disk Free,10114,SNMP Disk Free
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Uptime,10104,SNMP System Uptime
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Loopback: 10.10.223.1,11015,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Mgmt: 192.168.101.223 Eth-13_to_???????,11014,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],10108,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,10109,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Jio-115.243.72.4 SFP+_03 _to_ 192.168.101.24x_Eth-?,10110,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,OSPF: 172.16.15.223 Eth-3 to MT-224_Eth-3: 172.16.15.224,10947,SNMP Traffic
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Syslog Receiver,10694,Syslog Receiver
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Uptime,10118,SNMP System Uptime
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Mgmt: 192.168.101.224 Eth-13_to_???????,10119,SNMP Traffic
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Loopback: 10.10.224.1,10125,SNMP Traffic
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,TCL-14.143.129.181 SFP+_01 _to_ 192.168.101.24x_Eth-?,10120,SNMP Traffic
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Airtel-182.78.48.13 SFP+_02 _to_ 192.168.101.24x_Eth-?,10121,SNMP Traffic
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Jio-115.243.72.5 SFP+_03 _to_ 192.168.101.24x_Eth-?,10122,SNMP Traffic
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,CPU Load,10129,SNMP CPU Load
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Disk Free: system disk,10127,SNMP Disk Free
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Memory: main memory,10133,SNMP Memory
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Syslog Receiver,10695,Syslog Receiver
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,OSPF: 172.16.15.224 Eth-3 to MT-224_Eth-3: 172.16.15.223,10948,SNMP Traffic
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Uptime,10128,SNMP System Uptime
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,(003) ether1_to_MT-223-eth1 Traffic,10131,SNMP Traffic
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Eth-2_to_MT-224-Eth-1,10132,SNMP Traffic
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,(008) ether6_to_101.250_gi23 Traffic,10134,SNMP Traffic
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Disk Free: system disk,10141,SNMP Disk Free
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,CPU Load,10146,SNMP CPU Load
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Memory: main memory,10152,SNMP Memory
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Syslog Receiver,10696,Syslog Receiver
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,SFP+_4_to_MT-223_SFP+_4,10940,SNMP Traffic
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Eth-5_to_MT-226_Eth-5,10949,SNMP Traffic
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Uptime,10140,SNMP System Uptime
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(003) ether1_to_MT-223_eth2 Traffic,10142,SNMP Traffic
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(004) ether2_to_MT-224_eth2 Traffic,10143,SNMP Traffic
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(008) ether6_to_101.250_gi24 Traffic,10144,SNMP Traffic
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Disk Free: system disk,10153,SNMP Disk Free
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,CPU Load,10154,SNMP CPU Load
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Memory: main memory,10155,SNMP Memory
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Syslog Receiver,10697,Syslog Receiver
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Eth-5_to_MT-225_Eth-5,10952,SNMP Traffic
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(005) sfp-sfpplus4 Traffic,10955,SNMP Traffic
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,Uptime,5166,SNMP System Uptime
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,CPU Load,5190,SNMP Custom
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,Syslog Receiver,5199,Syslog Receiver
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health CPU,6651,SNMP Cisco System Health
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Fans,6653,SNMP Cisco System Health
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Memory,6655,SNMP Cisco System Health
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Power Supplies,6654,SNMP Cisco System Health
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Temperatures,6652,SNMP Cisco System Health
