ID,MAX SPEED,MAX SPEED DATE TIME,MIN SPEED,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
8193,167 Mbit/s,17-03-2024 02:27,1.29 Mbit/s,800,not_set,700,not_set
10705,86 Mbit/s,17-03-2024 03:20,< 0.01,800,not_set,700,not_set
9966,322 Mbit/s,17-03-2024 05:47,1.64 Mbit/s,800,not_set,700,not_set
10017,324 Mbit/s,17-03-2024 05:26,1.64 Mbit/s,800,not_set,700,not_set
9930,37 Mbit/s,17-03-2024 05:02,0.02 Mbit/s,130,not_set,100,not_set
10968,0.26 Mbit/s,17-03-2024 00:37,0.24 Mbit/s,800,not_set,700,not_set
11001,0.25 Mbit/s,17-03-2024 00:50,0.24 Mbit/s,800,not_set,700,not_set
10590,165 Mbit/s,17-03-2024 02:35,< 0.01,800,not_set,700,not_set
2718,4.05 Mbit/s,17-03-2024 05:00,0.46 Mbit/s,800,not_set,700,not_set
2729,3.14 Mbit/s,17-03-2024 05:00,0.02 Mbit/s,800,not_set,700,not_set
2751,3.63 Mbit/s,17-03-2024 01:00,0.01 Mbit/s,800,not_set,700,not_set
2761,3.98 Mbit/s,17-03-2024 05:00,0.23 Mbit/s,800,not_set,700,not_set
4622,1.96 Mbit/s,17-03-2024 03:00,0.01 Mbit/s,800,not_set,700,not_set
4628,1.61 Mbit/s,17-03-2024 03:00,< 0.01,800,not_set,700,not_set
9772,0.79 Mbit/s,17-03-2024 05:54,0.30 Mbit/s,800,not_set,700,not_set
9778,0.78 Mbit/s,17-03-2024 06:13,0.30 Mbit/s,800,not_set,700,not_set
7945,,,,8000,not_set,7000,not_set
4634,< 0.01,17-03-2024 04:00,< 0.01,500,not_set,400,not_set
4700,9.15 Mbit/s,17-03-2024 04:37,0.06 Mbit/s,500,not_set,400,not_set
10011,< 0.01,17-03-2024 03:50,< 0.01,800,not_set,700,not_set
3898,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
10862,"2,517 Mbit/s",17-03-2024 06:57,7.34 Mbit/s,8000,not_set,7000,not_set
10868,"6,598 Mbit/s",17-03-2024 03:23,8.36 Mbit/s,16000,not_set,10000,not_set
8525,12 Mbit/s,17-03-2024 06:22,0.77 Mbit/s,800,not_set,700,not_set
7705,0.91 Mbit/s,17-03-2024 02:04,0.07 Mbit/s,800,not_set,700,not_set
4637,0.02 Mbit/s,17-03-2024 04:15,< 0.01,500,not_set,400,not_set
4703,54 Mbit/s,17-03-2024 05:46,0.06 Mbit/s,500,not_set,400,not_set
10591,0.26 Mbit/s,17-03-2024 03:11,0.08 Mbit/s,800,not_set,700,not_set
2752,25 Mbit/s,17-03-2024 06:35,0.09 Mbit/s,800,not_set,700,not_set
2762,25 Mbit/s,17-03-2024 06:35,0.09 Mbit/s,800,not_set,700,not_set
