ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MAX),THRESHOLD MESSAGE (MIN),DISCARD IN UPPER ERROR LIMIT,DISCARD IN LOWER ERROR LIMIT,DISCARD IN UPPER WARNING LIMIT,DISCARD IN LOWER WARNING LIMIT,DISCARD OUT UPPER ERROR LIMIT,DISCARD OUT LOWER ERROR LIMIT,DISCARD OUT UPPER WARNING LIMIT,DISCARD OUT LOWER WARNING LIMIT,ERROR IN UPPER ERROR LIMIT,ERROR IN LOWER ERROR LIMIT,ERROR IN UPPER WARNING LIMIT,ERROR IN LOWER WARNING LIMIT,ERROR OUT UPPER ERROR LIMIT,ERROR OUT LOWER ERROR LIMIT,ERROR OUT UPPER WARNING LIMIT,ERROR OUT LOWER WARNING LIMIT,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
8193,14 Mbit/s,1760712.0187,12-03-2024 18:01:00,2.01 Mbit/s,251040.4167,12-03-2024 23:38:00,MAX SPEED for ID 8193 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
10705,125 Mbit/s,15652945.0725,12-03-2024 22:48:22,19 Mbit/s,2390675.3959,12-03-2024 23:37:22,MAX SPEED for ID 10705 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
9966,304 Mbit/s,38051548.6,12-03-2024 20:17:42,1.36 Mbit/s,170559.4099,12-03-2024 19:19:42,MAX SPEED for ID 9966 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
10017,313 Mbit/s,39161496.8156,12-03-2024 20:21:17,1.48 Mbit/s,185023.3578,12-03-2024 21:46:17,MAX SPEED for ID 10017 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
9930,4.96 Mbit/s,619498.4,12-03-2024 20:54:10,0.03 Mbit/s,3949.9167,12-03-2024 23:37:10,MAX SPEED for ID 9930 is within both Upper Error Limit(130.0 Mbit/s) and Upper Warning Limit(100.0 Mbit/s),not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,130.0,not_set,100.0,not_set
10968,0.52 Mbit/s,64469.7783,12-03-2024 18:04:43,0.27 Mbit/s,33333.7833,12-03-2024 18:20:43,MAX SPEED for ID 10968 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
11001,0.52 Mbit/s,65061.2667,12-03-2024 18:12:11,0.27 Mbit/s,33366.4667,12-03-2024 22:48:11,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set
10590,8.45 Mbit/s,1056182.5333,12-03-2024 19:50:53,< 0.01,345.2425,12-03-2024 19:26:53,MAX SPEED for ID 10590 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
2718,4.30 Mbit/s,538078.1,12-03-2024 23:00:48,0.43 Mbit/s,53486.1723,12-03-2024 21:13:28,MAX SPEED for ID 2718 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
2729,3.51 Mbit/s,438912.3,12-03-2024 19:00:43,0.02 Mbit/s,2212.3,12-03-2024 21:03:13,MAX SPEED for ID 2729 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
