"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Unicast In (Volume)","Unicast In (Volume)(RAW)","Unicast In (Speed)","Unicast In (Speed)(RAW)","Unicast Out (Volume)","Unicast Out (Volume)(RAW)","Unicast Out (Speed)","Unicast Out (Speed)(RAW)","Multicast In (Volume)","Multicast In (Volume)(RAW)","Multicast In (Speed)","Multicast In (Speed)(RAW)","Multicast Out (Volume)","Multicast Out (Volume)(RAW)","Multicast Out (Speed)","Multicast Out (Speed)(RAW)","Broadcast In (Volume)","Broadcast In (Volume)(RAW)","Broadcast In (Speed)","Broadcast In (Speed)(RAW)","Broadcast Out (Volume)","Broadcast Out (Volume)(RAW)","Broadcast Out (Speed)","Broadcast Out (Speed)(RAW)","Errors In (Volume)","Errors In (Volume)(RAW)","Errors In (Speed)","Errors In (Speed)(RAW)","Errors Out (Volume)","Errors Out (Volume)(RAW)","Errors Out (Speed)","Errors Out (Speed)(RAW)","Discards In (Volume)","Discards In (Volume)(RAW)","Discards In (Speed)","Discards In (Speed)(RAW)","Discards Out (Volume)","Discards Out (Volume)(RAW)","Discards Out (Speed)","Discards Out (Speed)(RAW)","Unknown Protocols In (Volume)","Unknown Protocols In (Volume)(RAW)","Unknown Protocols In (Speed)","Unknown Protocols In (Speed)(RAW)","Coverage","Coverage(RAW)"
"12-03-2024 18:00:00","45363.5208339815","39 MB","40847640.0000","5.45 Mbit/s","680680.5532","","826.0000","","13.7644","39 MB","40846814.0000","5.45 Mbit/s","680666.7889","0 #","0.0000","0 #/s","0.0000","276,636 #","276636.0000","4,610 #/s","4609.8317","7 #","7.0000","0.12 #/s","0.1166","8 #","8.0000","0.13 #/s","0.1333","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:01:00","45363.5215283681","101 MB","105625114.0000","14 Mbit/s","1760712.0187","","892.0000","","14.8691","101 MB","105624222.0000","14 Mbit/s","1760697.1495","0 #","0.0000","0 #/s","0.0000","332,644 #","332644.0000","5,545 #/s","5544.9908","8 #","8.0000","0.13 #/s","0.1334","9 #","9.0000","0.15 #/s","0.1500","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:02:00","45363.5222227315","42 MB","44434517.0000","5.93 Mbit/s","740698.7331","","1654.0000","","27.5713","42 MB","44432863.0000","5.93 Mbit/s","740671.1619","0 #","0.0000","0 #/s","0.0000","257,078 #","257078.0000","4,285 #/s","4285.3476","9 #","9.0000","0.15 #/s","0.1500","10 #","10.0000","0.17 #/s","0.1667","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:03:00","45363.5229173148","46 MB","48114108.0000","6.41 Mbit/s","801768.1720","","708.0000","","11.7980","46 MB","48113400.0000","6.41 Mbit/s","801756.3739","0 #","0.0000","0 #/s","0.0000","281,850 #","281850.0000","4,697 #/s","4696.7172","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1166","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:04:00","45363.5236117361","55 MB","57821037.0000","7.71 Mbit/s","963844.5908","","826.0000","","13.7690","55 MB","57820211.0000","7.71 Mbit/s","963830.8218","0 #","0.0000","0 #/s","0.0000","288,893 #","288893.0000","4,816 #/s","4815.6859","7 #","7.0000","0.12 #/s","0.1167","8 #","8.0000","0.13 #/s","0.1334","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:05:00","45363.5243061343","44 MB","45895127.0000","6.12 Mbit/s","765046.2910","","708.0000","","11.8020","44 MB","45894419.0000","6.12 Mbit/s","765034.4891","0 #","0.0000","0 #/s","0.0000","219,111 #","219111.0000","3,652 #/s","3652.4587","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:06:00","45363.5250006713","37 MB","38304815.0000","5.11 Mbit/s","638413.5833","","826.0000","","13.7667","37 MB","38303989.0000","5.11 Mbit/s","638399.8167","0 #","0.0000","0 #/s","0.0000","62,573 #","62573.0000","1,043 #/s","1042.8833","7 #","7.0000","0.12 #/s","0.1167","8 #","8.0000","0.13 #/s","0.1333","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:07:00","45363.5256953588","33 MB","34241688.0000","4.56 Mbit/s","570504.6318","","708.0000","","11.7961","33 MB","34240980.0000","4.56 Mbit/s","570492.8357","0 #","0.0000","0 #/s","0.0000","39,691 #","39691.0000","661 #/s","661.2962","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1166","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:08:00","45363.5263898148","31 MB","32148291.0000","4.29 Mbit/s","535804.8500","","708.0000","","11.8000","31 MB","32147583.0000","4.29 Mbit/s","535793.0500","0 #","0.0000","0 #/s","0.0000","39,771 #","39771.0000","663 #/s","662.8500","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:09:00","45363.5270839815","29 MB","30662269.0000","4.09 Mbit/s","511293.4634","","1190.0000","","19.8433","29 MB","30661079.0000","4.09 Mbit/s","511273.6201","0 #","0.0000","0 #/s","0.0000","36,956 #","36956.0000","616 #/s","616.2415","7 #","7.0000","0.12 #/s","0.1167","9 #","9.0000","0.15 #/s","0.1501","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
