Date Time,Traffic Total (Speed),Traffic Total (Speed)(RAW)
12-03-2024 18:00:00,5.45 Mbit/s,680680.5532
12-03-2024 18:01:00,14 Mbit/s,1760712.0187
12-03-2024 18:02:00,5.93 Mbit/s,740698.7331
12-03-2024 18:03:00,6.41 Mbit/s,801768.172
12-03-2024 18:04:00,7.71 Mbit/s,963844.5908
12-03-2024 18:05:00,6.12 Mbit/s,765046.291
12-03-2024 18:06:00,5.11 Mbit/s,638413.5833
12-03-2024 18:07:00,4.56 Mbit/s,570504.6318
12-03-2024 18:08:00,4.29 Mbit/s,535804.85
12-03-2024 18:09:00,4.09 Mbit/s,511293.4634
12-03-2024 18:10:00,4.35 Mbit/s,543489.1815
12-03-2024 18:11:00,5.05 Mbit/s,631708.45
12-03-2024 18:12:00,4.25 Mbit/s,531303.1172
12-03-2024 18:13:00,2.79 Mbit/s,348716.5194
12-03-2024 18:14:00,3.34 Mbit/s,417453.0745
12-03-2024 18:15:00,3.43 Mbit/s,429224.3374
12-03-2024 18:16:00,3.36 Mbit/s,420310.5982
12-03-2024 18:17:00,2.94 Mbit/s,367099.7833
12-03-2024 18:18:00,2.71 Mbit/s,338601.3669
12-03-2024 18:19:00,2.80 Mbit/s,349659.6333
12-03-2024 18:20:00,4.13 Mbit/s,516721.4202
12-03-2024 18:21:00,5.71 Mbit/s,713584.136
12-03-2024 18:22:00,4.81 Mbit/s,601747.3579
12-03-2024 18:23:00,4.70 Mbit/s,587646.1013
12-03-2024 18:24:00,5.10 Mbit/s,637468.4228
12-03-2024 18:25:00,4.23 Mbit/s,528817.1362
12-03-2024 18:26:00,3.75 Mbit/s,468479.8966
12-03-2024 18:27:00,3.38 Mbit/s,422431.4167
12-03-2024 18:28:00,3.10 Mbit/s,387455.4759
12-03-2024 18:29:00,2.90 Mbit/s,362982.6
12-03-2024 18:30:00,3.38 Mbit/s,421963.5318
12-03-2024 18:31:00,3.64 Mbit/s,454648.9333
12-03-2024 18:32:00,3.34 Mbit/s,417853.9923
12-03-2024 18:33:00,3.70 Mbit/s,462987.9667
12-03-2024 18:34:00,3.47 Mbit/s,433842.9072
12-03-2024 18:35:00,3.23 Mbit/s,404161.3167
12-03-2024 18:36:00,3.40 Mbit/s,425077.3129
12-03-2024 18:37:00,3.49 Mbit/s,436784.4307
12-03-2024 18:38:00,2.97 Mbit/s,371223.85
12-03-2024 18:39:00,2.94 Mbit/s,367933.8723
12-03-2024 18:40:00,2.75 Mbit/s,343610.2167
12-03-2024 18:41:00,3.23 Mbit/s,403874.9292
12-03-2024 18:42:00,3.78 Mbit/s,472997.9167
12-03-2024 18:43:00,3.03 Mbit/s,378349.8083
12-03-2024 18:44:00,3.47 Mbit/s,433252.2087
12-03-2024 18:45:00,2.82 Mbit/s,352420.8
12-03-2024 18:46:00,3.01 Mbit/s,376200.9832
12-03-2024 18:47:00,2.98 Mbit/s,372030.0883
12-03-2024 18:48:00,3.13 Mbit/s,391847.3246
12-03-2024 18:49:00,3.52 Mbit/s,440218.6031
12-03-2024 18:50:00,4.09 Mbit/s,511068.95
12-03-2024 18:51:00,4.33 Mbit/s,541698.9665
12-03-2024 18:52:00,5.13 Mbit/s,641344.7075
12-03-2024 18:53:00,4.44 Mbit/s,554426.2623
